bookid;name;author;genre;lang
35339;The 33 Strategies of War;Robert Greene;Nonfiction;English
35706;A Princess Remembers: The Memoirs of the Maharani of Jaipur;Gayatri Devi;Nonfiction;English
35710;Margot Fonteyn: Autobiography;Margot Fonteyn;Nonfiction;English
35743;Margot Fonteyn;Meredith Daneman;Biography;English
37190;The Tin Drum (Die Danziger Trilogie #1);GÃ¼nter Grass;Fiction;English
37272;The Tale of Despereaux;Kate DiCamillo;Fantasy;English
37378;Balanchine: A Biography;Bernard Taper;Biography;English
37380;Saturday Night Hat: Quick, Easy Hatmaking for the Downtown Girl;Eugenia  Kim;Nonfiction;English
37415;The Heart Is a Lonely Hunter;Carson McCullers;Classics;English
37553;Their Eyes Were Watching God;Zora Neale Hurston;Classics;English
37609;Sense and Sensibility;Jane Austen;Classics;English
37638;Monsoon (Courtney #10);Wilbur Smith;Historical;English
37651;Evelina;Fanny Burney;Literature;English
37673;Holding On to the Air;Suzanne Farrell;Nonfiction;English
37684;The Call of the Wild;Jack London;Classics;English
37732;The Lion, the Witch and the Wardrobe (Chronicles of Narnia, #1);Hiawyn Oram;Fantasy;English
37740;Are You There God? It's Me, Margaret;Judy Blume;Young Adult;English
37741;Superfudge (Fudge #3);Judy Blume;Fiction;English
37834;Tales of a Fourth Grade Nothing (Fudge #1);Judy Blume;Childrens;English
37909;Dancing for Balanchine;Merrill Ashley;Biography;English
37913;Go Jump in the Pool! (Macdonald Hall #2);Gordon Korman;Fiction;English
37914;Don't Care High;Gordon Korman;Young Adult;English
38262;Something Fishy at MacDonald Hall (Macdonald Hall #7);Gordon Korman;Humor;English
38290;Moll Flanders;Daniel Defoe;Classics;English
38296;The Pioneers (The Leatherstocking Tales #4);James Fenimore Cooper;Classics;English
38300;The Last of the Mohicans (The Leatherstocking Tales #2);James Fenimore Cooper;Classics;English
38302;A River Runs Through It;Norman Maclean;Fiction;English
38315;Empires of the Monsoon: A History of the Indian Ocean and Its Invaders;Richard Seymour Hall;History;English
38329;Fooled by Randomness: The Hidden Role of Chance in Life and in the Markets (Incerto #1);Nassim Nicholas Taleb;Nonfiction;English
38486;Gosford Park: The Shooting Script;Julian Fellowes;Mystery;English
38524;Starring Sally J. Freedman as Herself;Judy Blume;Childrens;English
38706;Spunk & Bite: A Writer's Guide to Punchier, More Engaging Language & Style;Arthur Plotnik;Language;English
38747;Sixth Grade Secrets;Louis Sachar;Childrens;English
38752;Roughing It;Mark Twain;Biography;English
38840;Death of a Salesman;Arthur Miller;Academic;English
39000;Boyd: The Fighter Pilot Who Changed the Art of War;Robert Coram;Biography;English
39021;Six Frigates: The Epic History of the Founding of the U. S. Navy;Ian W. Toll;History;English
39034;1491: New Revelations of the Americas Before Columbus;Charles C. Mann;History;English
39926;Dancing on My Grave;Gelsey Kirkland;Nonfiction;English
39937;The Beauty Myth;Naomi Wolf;Nonfiction;English
40189;Blue Angel;Francine Prose;Fiction;English
40745;A Year in Provence (Provence #1);Peter Mayle;Travel;English
40866;Mindset: The New Psychology of Success;Carol S. Dweck;Nonfiction;English
40929;Tales of the Dying Earth (The Dying Earth #1-4 omnibus);Jack Vance;Science Fiction;English
40955;The Rise of Theodore Roosevelt (Theodore Roosevelt #1);Edmund Morris;Biography;English
40958;They Call Me Coach;John Wooden;Sports and Games;English
41219;The Art of Innovation: Lessons in Creativity from IDEO, America's Leading Design Firm;Tom Kelley;Business;English
41363;Possession;A.S. Byatt;Fiction;English
41457;For Keeps: 30 Years at the Movies (The Film Writings);Pauline Kael;Culture;English
41506;Hitty, Her First Hundred Years;Rachel Field;Historical;English
41591;The Autobiography of Andrew Carnegie and the Gospel of Wealth;Andrew Carnegie;Biography;English
41619;The Great Crash of 1929;John Kenneth Galbraith;Economics;English
41643;Business @ the Speed of Thought: Succeeding in the Digital Economy;Bill Gates;Business;English
41653;Gates: How Microsoft's Mogul Reinvented an Industry--and Made Himself the Richest Man in America;Stephen Manes;Biography;English
41667;Giants of Enterprise: Seven Business Innovators and the Empires They Built;Richard S. Tedlow;Business;English
41716;My Side of the Mountain (Mountain #1);Jean Craighead George;Fiction;English
41786;Sahara (Dirk Pitt #11);Clive Cussler;Adventure;Spanish
41793;Joel on Software;Joel Spolsky;Computer Science;English
41804;Hackers & Painters: Big Ideas from the Computer Age;Paul Graham;Nonfiction;English
41865;I, Robot (Robot 0.1);Isaac Asimov;Science Fiction;English
41868;Twilight (Twilight  #1);Stephenie Meyer;Young Adult;English
41870;Ajax on Rails;Scott Raymond;Computer Science;English
41977;Pragmatic Ajax: A Web 2.0 Primer;Justin Gehtland;Computer Science;English
42384;Circle of Friends;Maeve Binchy;Romance;English
42407;Family Shoes (Bell Family  #1);Noel Streatfeild;Unknown;English
42697;Babar the King (Babar #3);Jean de Brunhoff;Childrens;English
42914;Exodus;Leon Uris;Historical;English
43121;All Quiet on the Western Front (All Quiet on the Western Front/The Road Back #1);Erich Maria Remarque;Classics;English
43132;Bright Earth: Art and the Invention of Color;Philip Ball;Art;English
43138;Winter Season: A Dancer's Journal;Toni Bentley;Nonfiction;English
43141;All in the Dances: A Brief Life of George Balanchine;Terry Teachout;Unknown;English
43235;The Essence of Style: How the French Invented High Fashion, Fine Food, Chic Cafes, Style, Sophistication, and Glamour;Joan DeJean;Nonfiction;English
43236;MySQL Administrator's Guide and Language Reference;MySQL AB;Unknown;English
43239;MySQL Cookbook;Paul DuBois;Computer Science;English
43240;MySQL Phrasebook;Zak Greant;Unknown;English
43244;MySQL in a Nutshell;Russell J.T. Dyer;Reference;English
43245;High Performance MySQL: Optimization, Backups, Replication, Load Balancing & More;Jeremy D. Zawodny;Computer Science;English
43448;MySQL Database Design and Tuning;Robert D. Schneider;Unknown;English
43536;Flowers in the Attic (Dollanganger #1);V.C. Andrews;Fiction;English
43615;Wooden: A Lifetime of Observations and Reflections On and Off the Court;John Wooden;Nonfiction;English
43641;The Gunslinger (The Dark Tower #1);Stephen King;Fantasy;English
43691;Water for Elephants;Sara Gruen;Fiction;English
43944;The Master;Colm TÃ³ibÃ­n;Fiction;English
44521;Suite FranÃ§aise;IrÃ¨ne NÃ©mirovsky;Historical;English
44559;Kiss Kiss;Roald Dahl;Short Stories;English
44735;Life is Elsewhere;Milan Kundera;Fiction;English
44866;The Elements of Typographic Style;Robert Bringhurst;Design;English
44905;Poetry and Prose of Alexander Pope (Riverside Editions);Alexander Pope;Poetry;English
45181;Writing Down the Bones: Freeing the Writer Within;Natalie Goldberg;Language;English
45195;Five Children and It (Five Children #1);E. Nesbit;Fantasy;English
45252;A Passage to India;E.M. Forster;Classics;English
45546;Pandora's Star (Commonwealth Saga #1);Peter F. Hamilton;Science Fiction;English
45793;Undaunted Courage: The Pioneering First Mission to Explore America's Wild Frontier;Stephen E. Ambrose;History;English
46064;The Murders in the Rue Morgue: The Dupin Tales (C. Auguste Dupin #1-3);Edgar Allan Poe;Classics;English
46084;The Diary of AnaÃ¯s Nin, Vol. 1: 1931-1934 (The Diary of AnaÃ¯s Nin #1);AnaÃ¯s Nin;Autobiography;English
46164;Agile Web Development with Rails;Dave Thomas;Science;English
46199;Tender Is the Night;F. Scott Fitzgerald;Classics;English
46204;Letters to a Young Poet;Rainer Maria Rilke;Poetry;English
46799;An Invisible Sign of My Own;Aimee Bender;Fiction;English
47021;Go Ask Alice;Beatrice Sparks;Fiction;English
47059;The Taming of the Shrew;William Shakespeare;Classics;English
47212;The Marble Faun;Nathaniel Hawthorne;Classics;English
48019;Storm Front (The Dresden Files #1);Jim Butcher;Fantasy;English
48131;The Effective Executive: The Definitive Guide to Getting the Right Things Done;Peter F. Drucker;Business;English
48132;Birds, Beasts and Relatives (Corfu Trilogy #2);Gerald Durrell;Nonfiction;English
48398;My Family and Other Animals (Corfu Trilogy #1);Gerald Durrell;Nonfiction;English
48461;The Inner Voice: The Making of a Singer;RenÃ©e Fleming;Music;English
48467;The Complete Stories;Flannery O'Connor;Fiction;English
48564;Wise Blood;Flannery O'Connor;Fiction;English
48855;Schoolgirls: Young Women, Self Esteem, and the Confidence Gap;Peggy Orenstein;Nonfiction;English
49226;The Diary of a Young Girl;Anne Frank;History;English
49465;Blood Diamonds: Tracing the Deadly Path of the World's Most Precious Stones;Greg Campbell;Nonfiction;English
49628;Those Who Save Us;Jenna Blum;Historical;English
50135;Cloud Atlas;David Mitchell;Science Fiction;English
50275;Poplorica: A Popular History of the Fads, Mavericks, Inventions, and Lore That Shaped Modern America;Martin J. Smith;Nonfiction;English
50365;Last Exit to Brooklyn;Hubert Selby Jr.;Fiction;English
50615;A Suitable Boy (Suitables #1);Vikram Seth;Fiction;English
50725;The Invention of Solitude;Paul Auster;Nonfiction;English
50727;The Pursuit of Love & Love in a Cold Climate;Nancy Mitford;Fiction;English
51291;Don't Tell Alfred (Radlett and Montdore #3);Nancy Mitford;Fiction;English
51296;How to Lie with Statistics;Darrell Huff;Nonfiction;English
51496;Oh the Glory of it All;Sean Wilsey;Autobiography;English
52357;The Strange Case of Dr. Jekyll and Mr. Hyde;Robert Louis Stevenson;Classics;English
53003;Beowulf;Unknown;Classics;English
53240;Our Lady of the Flowers;Jean Genet;Fiction;English
54499;Daddy Long Legs (Daddy-Long-Legs #1);Jean Webster;Classics;English
54620;The Man in the Iron Mask (The d'Artagnan Romances #3.4);Alexandre Dumas;Classics;English
54666;Mary Barton;Elizabeth Gaskell;Classics;English
54812;What's the Matter with Kansas? How Conservatives Won the Heart of America;Thomas Frank;Politics;English
54899;Streets of Laredo (Lonesome Dove #2);Larry McMurtry;Westerns;English
55008;Nobody's Perfect (The Gymnasts #3);Elizabeth Levy;Unknown;English
55428;Time Was Soft There: A Paris Sojourn at Shakespeare & Co.;Jeremy Mercer;Nonfiction;English
55563;Goodbye to All That;Robert Graves;Biography;English
55876;The Journalist and the Murderer;Janet Malcolm;Nonfiction;English
56034;How to Lose Friends and Alienate People;Toby Young;Nonfiction;English
56351;The French Lieutenant's Woman;John Fowles;Fiction;English
56616;Guenevere, Queen of the Summer Country (Guenevere #1);Rosalind Miles;Historical;English
56759;Double Indemnity;James M. Cain;Fiction;English
57485;The Mayor of Casterbridge;Thomas Hardy;Classics;English
57736;Wizard of the Crow;NgÅ©gÄ© wa Thiong'o;Fiction;English
58654;Shoeless Joe;W.P. Kinsella;Fiction;English
58922;Lost Girls and Love Hotels;Catherine Hanrahan;Fiction;English
59145;The Runaway Bunny (Over the Moon #1);Margaret Wise Brown;Childrens;English
59715;PÃ¨re Goriot (La ComÃ©die Humaine #23);HonorÃ© de Balzac;Fiction;English
59716;The Authoritative Calvin and Hobbes: A Calvin and Hobbes Treasury (Calvin and Hobbes);Bill Watterson;Sequential Art;English
60792;To the Lighthouse;Virginia Woolf;Classics;English
60931;The Accidental Tourist;Anne Tyler;Fiction;English
61024;Kindred;Octavia E. Butler;Historical;English
61026;Slim Aarons: Once Upon A Time;Slim Aarons;Art;English
61060;A Wonderful Time, 1974: Harper & Row;Slim Aarons;Unknown;English
61329;L.A. Lofts;Barbara Thornburg;Unknown;English
61535;Crossing the Chasm: Marketing and Selling High-Tech Products to Mainstream Customers;Geoffrey A. Moore;Business;English
61549;The Selfish Gene;Richard Dawkins;Nonfiction;English
61886;Mr. Popper's Penguins;Richard Atwater;Childrens;English
62111;The Curse of Chalion (World of the Five Gods (Publication) #1);Lois McMaster Bujold;Fantasy;English
62291;The Swiss Family Robinson;Johann David Wyss;Classics;English
62794;A Storm of Swords (A Song of Ice and Fire #3);George R.R. Martin;Fiction;English
63913;Confessions of a Mask;Yukio Mishima;Fiction;English
64222;Trout Fishing in America;Richard Brautigan;Fiction;English
65278;Going Postal (Discworld #33);Terry Pratchett;Fantasy;English
66406;Rules of the Wild: A Novel of Africa;Francesca Marciano;Cultural;English
67141;Street Boys;Lorenzo Carcaterra;Fiction;English
67270;Contempt;Alberto Moravia;Fiction;English
67490;Emil and the Detectives (Emil #1);Erich KÃ¤stner;Mystery;English
68143;Powershift: Knowledge, Wealth, and Power at the Edge of the 21st Century;Alvin Toffler;Nonfiction;English
68985;The Wisdom of Crowds;James Surowiecki;Nonfiction;English
69091;The Power of Full Engagement: Managing Energy, Not Time, Is the Key to High Performance and Personal Renewal;Jim Loehr;Business;English
69130;The Clown;Heinrich BÃ¶ll;Fiction;English
69242;Cold Calling Techniques 5th Edition;Stephan Schiffman;Business;English
70105;Made to Stick: Why Some Ideas Survive and Others Die;Chip Heath;Business;English
70132;The Counterfeiters;AndrÃ© Gide;Fiction;English
70944;Information Architecture for the World Wide Web: Designing Large-Scale Web Sites;Peter Morville;Internet;English
71292;Lady Chatterley's Lover;D.H. Lawrence;Classics;English
71301;Asterix the Gaul (AstÃ©rix #1);RenÃ© Goscinny;Sequential Art;English
71726;Obelix and Co. (AstÃ©rix #23);RenÃ© Goscinny;Sequential Art;English
71730;Jonathan Livingston Seagull;Richard Bach;Fiction;English
71806;Nonviolent Communication: A Language of Life;Marshall B. Rosenberg;Nonfiction;English
73127;30-Minute Meals;Rachael Ray;Food and Drink;English
75004;Secrets of Power Negotiating: Inside Secrets from a Master Negotiator;Roger Dawson;Business;English
75180;Getting Real: The smarter, faster, easier way to build a successful Web application;37 Signals;Business;English
75291;Couscous and Other Good Food from Morocco;Paula Wolfert;Food and Drink;English
75367;Art as Experience;John Dewey;Art;English
76345;Oz Clarke's New Wine Atlas: Wines and Wine Regions of the World;Oz Clarke;Alcohol;English
76355;Between Heaven and Earth;Harriet Beinfield;Health;English
76479;Little Girls in Pretty Boxes: The Making and Breaking of Elite Gymnasts and Figure Skaters;Joan Ryan;Nonfiction;English
76527;A Field Guide to Getting Lost;Rebecca Solnit;Nonfiction;English
76611;The Life and Opinions of Tristram Shandy, Gentleman;Laurence Sterne;Literature;English
76620;A Natural History of the Senses;Diane Ackerman;Nonfiction;English
76852;Watership Down (Watership Down #1);Richard  Adams;Classics;English
76865;Jonathan Strange & Mr Norrell;Susanna Clarke;Historical;English
76931;Good to Great: Why Some Companies Make the Leap... and Others Don't;James C. Collins;Business;English
76932;The Bombay Boomerang (Hardy Boys #49);Franklin W. Dixon;Mystery;English
76933;The Clue in the Embers (Hardy Boys #35);Franklin W. Dixon;Mystery;English
76934;The Clue of the Broken Blade (Hardy Boys #21);Franklin W. Dixon;Fiction;English
76936;The Clue of the Screeching Owl (Hardy Boys #41);Franklin W. Dixon;Mystery;English
76948;Danger on Vampire Trail (Hardy Boys #50);Franklin W. Dixon;Mystery;English
76952;The Shattered Helmet (Hardy Boys #52);Franklin W. Dixon;Mystery;English
76953;The Mark on the Door (Hardy Boys #13);Franklin W. Dixon;Mystery;English
76961;The Masked Monkey (Hardy Boys #51);Franklin W. Dixon;Mystery;English
76963;Mystery of the Flying Express (Hardy Boys #20);Franklin W. Dixon;Mystery;English
76964;The Mystery of the Spiral Bridge (Hardy Boys #45);Franklin W. Dixon;Mystery;English
77013;Mystery of the Whale Tattoo (Hardy Boys #47);Franklin W. Dixon;Mystery;English
77168;As I Lay Dying;William Faulkner;Classics;English
77262;The Snows of Kilimanjaro and Other Stories;Ernest Hemingway;Fiction;English
77287;Animal Dreams;Barbara Kingsolver;Fiction;English
77427;Independent People (SjÃ¡lfstÃ¦tt fÃ³lk #1-4);HalldÃ³r Kiljan Laxness;Fiction;English
77430;H.M.S. Surprise (Aubrey & Maturin #3);Patrick O'Brian;Historical;English
77431;Master and Commander (Aubrey & Maturin #1);Patrick O'Brian;Historical;English
77432;The Mauritius Command (Aubrey & Maturin #4);Patrick O'Brian;Historical;English
77507;Post Captain (Aubrey & Maturin #2);Patrick O'Brian;Fiction;English
77554;Red Mars (Mars Trilogy #1);Kim Stanley Robinson;Science Fiction;English
77565;The Stone Diaries;Carol Shields;Unknown;English
77566;The Fall of Hyperion (Hyperion Cantos #2);Dan Simmons;Science Fiction;English
77764;Hyperion (Hyperion Cantos #1);Dan Simmons;Science Fiction;English
77770;Farmer Boy (Little House #3);Laura Ingalls Wilder;Childrens;English
77995;These Happy Golden Years (Little House #8);Laura Ingalls Wilder;Classics;English
78039;The Necklace and Other Short Stories;Guy de Maupassant;Short Stories;English
78078;Ramona the Pest (Ramona Quimby #2);Beverly Cleary;Unknown;English
78508;Manuale Di Grammatica Italiana;Annamaria Napolitano;Unknown;English
80453;The River of Doubt: Theodore Roosevelt's Darkest Journey;Candice Millard;History;English
80670;The Freud Reader;Sigmund Freud;Psychology;English
80897;Otherwise Known as Sheila the Great (Fudge #2);Judy Blume;Unknown;English
80978;Doctor Faustus;Christopher Marlowe;Classics;English
82192;The Peacock Spring;Rumer Godden;Young Adult;English
82356;The Crystal Cave (Arthurian Saga #1);Mary  Stewart;Fantasy;English
83143;The Comedy of Errors;William Shakespeare;Plays;English
83144;Tatiana and Alexander (The Bronze Horseman #2);Paullina Simons;Historical;English
83518;The Bronze Horseman (The Bronze Horseman #1);Paullina Simons;Romance;English
84527;The Singularity is Near: When Humans Transcend Biology;Ray Kurzweil;Science;English
84699;The Mists of Avalon (Avalon #1);Marion Zimmer Bradley;Fantasy;English
84979;Never Eat Alone: And Other Secrets to Success, One Relationship at a Time;Keith Ferrazzi;Business;English
84981;Pride and Prejudice;Jane Austen;Fiction;English
85009;Tuck Everlasting;Natalie Babbitt;Fantasy;English
86327;Design Patterns: Elements of Reusable Object-Oriented Software;Erich Gamma;Computer Science;English
86329;The Souvenir: A Daughter Discovers Her Father's War;Louise Steinman;Nonfiction;English
86630;Toujours Provence. (Provence #2);Peter Mayle;Travel;English
86658;Learning Perl;Randal L. Schwartz;Reference;English
87519;The Secret Agent;Joseph Conrad;Fiction;English
87580;Snobbery: The American Version;Joseph Epstein;Nonfiction;English
87714;The Private Memoirs and Confessions of a Justified Sinner;James Hogg;Classics;English
87976;The Forsyte Saga (The Forsyte Chronicles #1-3);John Galsworthy;Classics;English
87985;The Tower Treasure (Hardy Boys #1);Franklin W. Dixon;Young Adult;English
88077;A Soldier of the Great War;Mark Helprin;Fiction;English
88666;The Magic Mountain;Thomas Mann;Novels;English
88815;Breakpoint;Richard A. Clarke;Fiction;English
89691;The Reluctant Fundamentalist;Mohsin Hamid;Fiction;English
91244;The Dogs of Babel;Carolyn  Parkhurst;Fiction;English
91247;Beezus and Ramona (Ramona Quimby #1);Beverly Cleary;Unknown;English
91248;Ramona and Her Father (Ramona Quimby #4);Beverly Cleary;Unknown;English
91253;Ramona the Brave (Ramona Quimby #3);Beverly Cleary;Unknown;English
91362;Ramona Quimby, Age 8 (Ramona Quimby #6);Beverly Cleary;Childrens;English
91605;The Devil's Teeth: A True Story of Obsession and Survival Among America's Great White Sharks;Susan Casey;Nonfiction;English
92160;Cold Sassy Tree (Audiofy Digital Audiobook Chips);Olive Ann Burns;Fiction;English
92230;London;Edward Rutherfurd;Historical;English
92303;Snobs;Julian Fellowes;Fiction;English
92364;The Importance of Being Earnest;Oscar Wilde;Classics;English
92780;Eye of the Needle;Ken Follett;Fiction;English
92936;Cold Comfort Farm (Cold Comfort Farm);Stella Gibbons;Fiction;English
93180;Red Azalea;Anchee Min;Cultural;English
93380;The Manuscript Found in Saragossa;Jan Potocki;Fiction;English
93818;The Boxcar Children 1-4 (The Boxcar Children #1-4);Gertrude Chandler Warner;Unknown;English
94486;The Bird's Christmas Carol;Kate Douglas Wiggin;Holiday;English
94675;The Invention of Morel;Adolfo Bioy Casares;Fiction;English
95420;An Actor Prepares (The Acting Books #1);Konstantin Stanislavski;Plays;English
95429;Personal History;Katharine Graham;Nonfiction;English
96646;Leaving Microsoft to Change the World: An Entrepreneur's Odyssey to Educate the World's Children;John Wood;Autobiography;English
96884;The Firebird Rocket (Hardy Boys #57);Franklin W. Dixon;Mystery;English
97782;The Happiness Hypothesis: Finding Modern Truth in Ancient Wisdom;Jonathan Haidt;Psychology;English
98047;Then We Came to the End;Joshua Ferris;Fiction;English
98233;D.V.;Diana Vreeland;Nonfiction;English
98374;Founders at Work: Stories of Startups' Early Days;Jessica Livingston;Business;English
98573;M: The Man Who Became Caravaggio;Peter Robb;Art;English
98686;Harold and the Purple Crayon (Harold #1);Crockett Johnson;Childrens;English
98752;They Call Me Naughty Lola: Personal Ads from the London Review of Books;David  Rose;Humor;English
98906;2007 Writer's Market;Robert Lee Brewer;Language;English
99107;The Gilded Age;Mark Twain;Fiction;English
99219;Winnie-the-Pooh (Winnie-the-Pooh #1);A.A. Milne;Childrens;English
99329;The Butlerian Jihad (Legends of Dune #1);Brian Herbert;Science Fiction;English
99664;The History of Tom Jones, a Foundling;Henry Fielding;Classics;English
101112;The Painted Veil;W. Somerset Maugham;Classics;English
101910;Sneakers: The Complete Collectors' Guide;Unorthodox Styles;Reference;English
102000;Drinking, Smoking and Screwing: Great Writers on Good Times;Sara Nickles;Fiction;English
102030;The Voyeur;Alain Robbe-Grillet;Fiction;English
102565;Musashi (Musashi Complete);Eiji Yoshikawa;Fiction;English
103292;The Mysterious Stranger and Other Stories;Mark Twain;Fantasy;English
103300;East Africa (Lonely Planet Guide);Lonely Planet;Travel;English
103390;Southern Africa;Lonely Planet;Travel;English
104039;The Song of Roland;Unknown;Fiction;English
104260;From the Holy Mountain: A Journey Among the Christians of the Middle East;William Dalrymple;Travel;English
104263;Indiana;George Sand;Classics;English
104342;Story of My Life: The Autobiography of George Sand;George Sand;Biography;English
104837;Grass (Arbai #1);Sheri S. Tepper;Science Fiction;English
105548;Antony and Cleopatra;William Shakespeare;Classics;English
105999;The Foot Book: Dr. Seuss's Wacky Book of Opposites;Dr. Seuss;Childrens;English
106882;Dear Mr. Henshaw (Leigh Botts #1);Beverly Cleary;Childrens;English
106952;French Women Don't Get Fat: The Secret of Eating for Pleasure;Mireille Guiliano;Nonfiction;English
107318;So Many Books, So Little Time: A Year of Passionate Reading;Sara Nelson;Nonfiction;English
107322;The Far Country;Nevil Shute;Fiction;English
108182;Vinland the Good;Nevil Shute;Fiction;English
108218;Tales, Speeches, Essays, and Sketches;Mark Twain;Classics;English
108748;Men Without Women;Ernest Hemingway;Short Stories;English
108771;Personal History (Women In History);Katharine Graham;Nonfiction;English
108905;The Flight Of The Romanovs: A Family Saga;John Curtis Perry;History;English
109771;Personal Finance for Dummies;Eric Tyson;Nonfiction;English
109830;Heloise  Abelard: A New Biography;James Burge;History;English
110590;Man's Fate;AndrÃ© Malraux;Fiction;French
110896;MLA Handbook for Writers of Research Papers;Joseph Gibaldi;Language;English
113387;Dancer;Colum McCann;Fiction;English
114511;A Story Like the Wind;Laurens van der Post;Fiction;English
114737;A Sport and a Pastime;James Salter;Fiction;English
115471;It's Not How Good You Are, It's How Good You Want To Be;Paul Arden;Nonfiction;English
115476;Drawing the Line;Paul Conrad;Politics;English
116187;Nostromo;Joseph Conrad;Fiction;English
117833;Organizing Genius: The Secrets of Creative Collaboration;Warren G. Bennis;Leadership;English
117956;The Master and Margarita;Mikhail Bulgakov;Fiction;English
118345;Mr. Clemens and Mark Twain: A Biography;Justin Kaplan;Unknown;English
119079;Sixty Stories;Donald Barthelme;Short Stories;English
119322;The Lais of Marie de France;Marie de France;Classics;English
119324;The Golden Compass (His Dark Materials #1);Philip Pullman;Favorites;English
120254;The Subtle Knife (His Dark Materials #2);Philip Pullman;Young Adult;English
121986;The Official Preppy Handbook;Lisa Birnbach;Unknown;English
122649;Among the Elephants;Iain Douglas-Hamilton;Nonfiction;English
123715;Lady Windermere's Fan;Oscar Wilde;Plays;English
124099;Slack: Getting Past Burnout, Busywork, and the Myth of Total Efficiency;Tom DeMarco;Business;English
124507;The Beggar's Opera And Other Eighteenth Century Plays;David W. Lindsay;Unknown;English
125190;King Richard III (Wars of the Roses #8);William Shakespeare;Classics;English
125321;Swallows and Amazons (Swallows and Amazons #1);Arthur Ransome;Fiction;English
125404;Barchester Towers (Chronicles of Barsetshire #2);Anthony Trollope;Classics;English
125466;The Indian in the Cupboard (The Indian in the Cupboard #1);Lynne Reid Banks;Fantasy;English
126215;The Indian in the Cupboard (The Indian in the Cupboard #1);Lynne Reid Banks;Fantasy;English
126710;The Marketplace (The Marketplace #1);Laura Antoniou;Erotica;English
127227;In Lane Three, Alex Archer (Alex Archer #1);Tessa Duder;Young Adult;English
127634;Mountolive (Alexandria Quartet #3);Lawrence Durrell;Fiction;English
127684;The Human Condition;Hannah Arendt;Philosophy;English
128029;The Accidental Connoisseur: An Irreverent Journey Through the Wine World;Lawrence Osborne;Alcohol;English
128155;The Discovery of Poetry: A Field Guide to Reading and Writing Poems;Frances Mayes;Poetry;English
128521;A Thousand Splendid Suns;Khaled Hosseini;Fiction;English
129549;Soul Catcher: A Journal to Help You Become Who You Really Are;Kathy Eldon;Self Help;English
130002;No Flying in the House;Betty Brock;Childrens;English
130028;Pirate (Alexander Hawke #3);Ted Bell;Fiction;English
130520;Strapless: John Singer Sargent and the Fall of Madame X;Deborah   Davis;Art;English
130580;Moon Tiger;Penelope Lively;Unknown;English
130824;The Mosquito Coast;Paul Theroux;Fiction;English
131851;Old Yeller (Old Yeller #1);Fred Gipson;Classics;English
132376;Glamour: Fashion, Industrial Design, Architecture;Phil Patton;Unknown;English
132900;Can You Sue Your Parents for Malpractice?;Paula Danziger;Young Adult;English
133394;The Moon and the Bonfire;Cesare Pavese;Fiction;English
134231;The Happiest Baby on the Block: The New Way to Calm Crying and Help Your Newborn Baby Sleep Longer;Harvey Karp;Nonfiction;English
135158;Our Man in Havana;Graham Greene;Fiction;English
135484;Moral Calculations: Game Theory, Logic, and Human Frailty;MÃ©rÅ‘ LÃ¡szlÃ³;Nonfiction;English
136066;Dreams of My Russian Summers (Dreams of My Russian Summers #1);AndreÃ¯ Makine;Fiction;English
136251;Reason for Hope: A Spiritual Journey;Jane Goodall;Nonfiction;English
137554;On the Suffering of the World;Arthur Schopenhauer;Philosophy;English
139069;Harry Potter and the Deathly Hallows (Harry Potter #7);J.K. Rowling;Fantasy;English
141565;Not Fade Away: A Short Life Well Lived;Laurence Shames;Biography;English
141931;Endurance: Shackleton's Incredible Voyage;Alfred Lansing;Nonfiction;English
141935;This Is Your Brain on Music: The Science of a Human Obsession;Daniel J. Levitin;Music;English
142086;Curious George and the Birthday Surprise (Curious George New Adventures);Margret Rey;Unknown;English
142296;Curious George Visits the Library (Curious George New Adventures);Margret Rey;Unknown;English
142492;The War with Mr. Wizzle (Macdonald Hall #4);Gordon Korman;Fiction;English
143100;The Anubis Gates;Tim Powers;Fantasy;English
143428;Vile Bodies;Evelyn Waugh;Fiction;English
143675;Yvain, or The Knight with the Lion;ChrÃ©tien de Troyes;Classics;English
143718;I Married Adventure: The Lives of Martin and Osa Johnson;Osa Johnson;Adventure;English
143999;A Path with Heart: A Guide Through the Perils and Promises of Spiritual Life;Jack Kornfield;Religion;English
144187;The Pirate Hunter: The True Story of Captain Kidd;Richard Zacks;History;English
144214;South: The Story of Shackleton's Last Expedition 1914-1917;Ernest Shackleton;History;English
144960;Rome: The Biography of a City;Christopher Hibbert;History;English
145102;When a Crocodile Eats the Sun: A Memoir of Africa;Peter Godwin;Cultural;English
145286;The Conscious Mind: In Search of a Fundamental Theory;David J. Chalmers;Philosophy;English
145385;What's Going On in There? How the Brain and Mind Develop in the First Five Years of Life;Lise Eliot;Parenting;English
146274;February House;Sherill Tippins;Biography;English
146746;The Borrowers Afloat (The Borrowers #3);Mary Norton;Fantasy;English
147791;Manhunt: The 12-Day Chase for Lincoln's Killer;James L. Swanson;History;English
148050;The Jewel in the Crown (The Raj Quartet #1);Paul Scott;Historical;English
149477;Things Fall Apart (The African Trilogy #1);Chinua Achebe;Fiction;English
150104;JavaScript: The Definitive Guide;David Flanagan;Computer Science;English
150343;Henry and Beezus (Henry Huggins #2);Beverly Cleary;Unknown;English
150472;Save Me the Waltz;Zelda Fitzgerald;Classics;English
150731;The End of Beauty;Jorie Graham;Poetry;English
